# name RA Dec color vlsr outflow_PA offset_labelPA
# The name is the one used for figure annotation
# L1448-
IRS3A, 03:25:36.510, +30:45:21.887, black, 5.24, 45, 120.0
IRS3B, 03:25:36.376, +30:45:14.854, red, 4.75, 279, 300.0
IRS3C, 03:25:35.683, +30:45:34.171, black, 4.2, 310, 225.0
mm, 03:25:38.8746, +30:44:05.283, black, 4.0, 340, 300.00
# Per-emb-53
B5-IRS1, 03:47:41.591, 32:51:43.672, black, 9.1, 60.0, 120.0 
Per-emb-2, 03:32:17.928, 30:49:47.825, black, 5.75, 131.0, 60.0
Per-emb-5, 03:31:20.939, 30:45:30.273, black, 8.15, 123.0, 60.0
Per-emb-8, 03:44:43.982, 32:01:35.210, black, 8.5, NaN, 60.0
Per-emb-18, 03:29:11.258, 31:18:31.073, black, 8.0, NaN, 60.0
Per-emb-22, 03:25:22.409, 30:45:13.258, black, 4.25, 131.0, 60.0
Per-emb-29, 03:33:17.877, 31:09:31.817, black, 6.55, 133.0, 60.0
Per-emb-30, 03:33:27.303, 31:07:10.160, black, 6.55, 115.0, 60.0
Per-emb-50, 03:29:07.768, 31:21:57.128, black, 8.0, 95.0, 60.0
Per-emb-62, 03:44:12.977, 32:01:35.419, black, 9.1, 18.0, 60.0
B1-bN, 03:33:21.209, 31:07:43.665, black, 6.75, NaN, 60.0
B1-bS, 03:33:21.355, 31:07:26.372, black, 6.75, 110.0, 60.0
# Per-emb-1
HH211, 03:43:56.806, 32:00:50.202, black, 8.5, 115.0, 60.0
# Per-emb-11
IC348MMS, 03:43:57.065, 32:03:04.788, black, 8.15, 162.0, 60.0
# Per-emb-27
IRAS2A, 03:28:55.569, 31:14:37.025, black, 7.5, 14.0, 60.0
# Per-emb-36
IRAS2B, 03:28:57.374, 31:14:15.772, black, 7.5, 13.0, 60.0
# Per-emb-13
IRAS4B, 03:29:12.016, 31:13:08.031, black, 7.8, 172.0, 60.0
# Per-emb-14
IRAS4C, 03:29:13.548, 31:13:58.150, black, 8.0, NaN, 60.0
